date_time,player_id,specialization_name
2020-01-22T14:49:06.375Z,pc710f2f,technician
2020-01-22T00:14:19.334Z,pcfe7b3f,Demolitionist
2020-01-22T00:33:29.176Z,pcfe7b3f,sharpshooter
2020-01-22T00:37:01.133Z,pcfe7b3f,Demolitionist
2020-01-22T13:15:21.363Z,pcfe7b3f,gunner
2020-01-22T13:16:52.416Z,pcfe7b3f,sharpshooter
2020-01-22T13:23:57.346Z,pcfe7b3f,Demolitionist
2020-01-22T13:38:06.966Z,pcfe7b3f,gunner
2020-01-22T13:48:44.265Z,pcfe7b3f,sharpshooter
2020-01-22T13:51:16.363Z,pcfe7b3f,gunner
2020-01-22T13:51:47.142Z,pcfe7b3f,sharpshooter
2020-01-22T13:56:49.739Z,pcfe7b3f,Demolitionist
2020-01-22T13:59:52.005Z,pcfe7b3f,sharpshooter
2020-01-22T14:03:23.501Z,pcfe7b3f,gunner
2020-01-22T14:05:25.198Z,pcfe7b3f,technician
2020-01-22T14:45:47.493Z,pcfe7b3f,sharpshooter
2020-01-22T15:00:26.989Z,pcfe7b3f,gunner
2020-01-22T15:01:27.421Z,pcfe7b3f,sharpshooter
2020-01-22T15:06:00.121Z,pcfe7b3f,Demolitionist
2020-01-22T15:13:34.567Z,pcfe7b3f,sharpshooter
2020-01-22T19:43:08.334Z,pcfe7b3f,technician
2020-01-22T20:12:54.932Z,pcfe7b3f,Demolitionist
2020-01-22T20:13:25.192Z,pcfe7b3f,sharpshooter
2020-01-22T20:54:18.925Z,pcfe7b3f,Demolitionist
2020-01-22T21:15:33.193Z,pcfe7b3f,sharpshooter
2020-01-22T21:26:09.564Z,pcfe7b3f,Demolitionist
2020-01-22T21:36:16.524Z,pcfe7b3f,sharpshooter
2020-01-22T21:37:47.482Z,pcfe7b3f,Demolitionist
2020-01-22T21:54:26.792Z,pcfe7b3f,gunner
2020-01-22T21:59:00.052Z,pcfe7b3f,sharpshooter
