date_time,skill_left,skill_right,player_level,player_id
2020-03-08T17:51:59.332Z,drone,hive,40,pc69b5a4
2020-01-30T01:25:40.398Z,turret,seekermine,8,pc1afffe
2020-01-30T22:36:14.872Z,turret,hive,30,pcad1f5a
2020-01-30T13:17:10.717Z,drone,seekermine,30,pc868474
2020-01-30T03:31:01.838Z,seekermine,hive,30,pc489314
2020-01-30T06:11:59.336Z,seekermine,hive,30,pcf66328
2020-01-30T08:21:38.152Z,seekermine,hive,30,pcf66328
2020-01-30T11:56:26.428Z,chemlauncher,hive,30,pcf66328
2020-01-30T12:52:14.033Z,chemlauncher,hive,30,pcf66328
2020-01-30T13:02:13.997Z,chemlauncher,hive,30,pcf66328
2019-12-30T02:06:33.013Z,turret,hive,4,pcefeaba
2019-12-30T11:26:12.426Z,drone,,4,pcac432b
2019-12-30T09:16:31.416Z,shield,drone,9,pc89a556
2019-12-30T12:54:27.550Z,drone,hive,16,pc6e5eb8
2019-12-30T20:07:00.240Z,seekermine,drone,11,pc6bcca3
2019-12-30T15:04:06.837Z,turret,drone,15,pc7b59be
2019-12-30T20:21:38.960Z,drone,seekermine,25,pc812b39
2019-12-30T12:58:40.231Z,drone,chemlauncher,30,pc147e32
2019-12-30T17:13:49.277Z,turret,drone,30,pcad1f5a
2019-12-30T23:36:36.616Z,pulse,turret,30,pc6e0dfe
2019-12-30T21:44:02.214Z,firefly,seekermine,30,pc086aee
2019-12-30T19:31:13.867Z,seekermine,turret,23,pcb79d53
2019-12-30T00:01:42.574Z,turret,seekermine,30,pca9481b
2019-12-30T06:46:15.679Z,turret,seekermine,10,pc929058
2019-12-30T06:55:26.802Z,turret,seekermine,8,pc929058
2019-12-30T23:35:14.563Z,seekermine,turret,30,pcedb3cc
2019-12-30T23:41:34.418Z,shield,drone,30,pc8361ec
2019-12-30T10:43:43.558Z,turret,seekermine,30,pc7a39a8
2019-12-30T11:09:16.292Z,turret,seekermine,30,pc7a39a8
2019-12-30T02:52:34.137Z,pulse,drone,30,pcfe50d3
2019-12-30T11:53:57.747Z,drone,seekermine,30,pc6aaa9d
2019-12-30T15:06:13.388Z,drone,hive,30,pc6aaa9d
2019-12-30T09:41:30.895Z,chemlauncher,hive,30,pcf66328
2019-12-30T02:28:58.341Z,chemlauncher,seekermine,30,pc8510c3
2020-02-16T20:58:31.162Z,drone,chemlauncher,30,pc77f512
2020-02-16T16:17:53.296Z,drone,turret,23,pcf4d11e
2020-02-16T18:04:33.422Z,hive,drone,30,pc45f707
2020-02-16T18:23:31.432Z,shield,hive,20,pc898fc0
2020-02-16T12:20:18.580Z,hive,drone,30,pc307983
2020-01-02T08:08:52.459Z,drone,seekermine,19,pc3ca15f
2020-01-02T08:16:57.902Z,drone,seekermine,19,pc3ca15f
2020-01-02T02:43:05.879Z,drone,turret,30,pc931d1c
2020-01-02T14:23:16.634Z,drone,hive,30,pcdc3ffd
2020-01-02T17:45:40.674Z,firefly,hive,30,pc7e33cc
2020-01-02T18:01:56.418Z,drone,seekermine,30,pcc577f4
2020-01-02T18:13:05.374Z,drone,seekermine,30,pcc577f4
2020-01-02T19:17:21.692Z,drone,seekermine,30,pcc577f4
2020-01-02T19:27:59.203Z,drone,seekermine,30,pcc577f4
2020-01-02T14:21:46.725Z,turret,drone,25,pcead0d1
2020-01-02T15:19:43.891Z,shield,drone,19,pcc788a4
2020-01-02T12:19:04.075Z,hive,seekermine,30,pcd05e8d
2020-01-02T07:03:44.006Z,turret,seekermine,30,pc88257d
2020-01-02T07:33:36.169Z,turret,seekermine,30,pc88257d
2020-01-02T07:46:45.342Z,turret,seekermine,30,pc88257d
2020-01-02T07:55:21.182Z,turret,seekermine,30,pc88257d
2020-01-02T08:13:05.437Z,drone,seekermine,30,pc88257d
2020-01-02T13:35:59.811Z,turret,seekermine,30,pc1771c0
2020-01-02T10:13:13.233Z,drone,turret,30,pc461c6c
2020-01-02T11:01:47.388Z,chemlauncher,seekermine,30,pc9853d3
